Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Dominant_Topic
0.027468041147001007,0.02714365146690119,0.02689888364294717,0.0271423553572404,0.8913470683859103,Topic_5
0.032557705860747944,0.03175752895792621,0.03115978582487398,0.03137140836374955,0.8731535709927024,Topic_5
0.44179334287414523,0.02460033721719895,0.023136411673937884,0.028371882639670998,0.48209802559504683,Topic_5
0.03530570229313588,0.024009696243846496,0.024003182306192066,0.024093541146405772,0.8925878780104197,Topic_5
0.045884677541559414,0.04548472781582573,0.0453040739963488,0.04521521381320442,0.8181113068330617,Topic_5
0.03686355555550651,0.03662100597044698,0.03549483053576255,0.037806848416861945,0.8532137595214221,Topic_5
0.059886556979907156,0.059239726628956,0.0589565165938972,0.05893482676148578,0.7629823730357538,Topic_5
0.036948137513507444,0.036334314529480626,0.036122561549735845,0.03631471017423731,0.8542802762330388,Topic_5
0.026454373476408024,0.02569747828394237,0.025261028163702355,0.026220219343140366,0.8963669007328068,Topic_5
0.03351498096774221,0.03385581738464401,0.033096385092029855,0.03635752369033414,0.8631752928652497,Topic_5
0.0346827480443782,0.034622689819505593,0.034455891237556754,0.03453461366606925,0.8617040572324902,Topic_5
0.03773667077419299,0.037594886056040305,0.03733091602621777,0.03820881377160104,0.8491287133719478,Topic_5
0.04820696138775638,0.04812744181187102,0.047862138861582276,0.047909593445550576,0.8078938644932397,Topic_5
0.02958984315008097,0.029510020645587148,0.029133037741738026,0.029180128475783166,0.8825869699868107,Topic_5
0.04900249477963827,0.0491659026614916,0.048057520633673204,0.048499868887266484,0.8052742130379303,Topic_5
0.0281625150968781,0.028680181193615446,0.0278835031103873,0.0279075581297471,0.8873662424693721,Topic_5
0.04534616447584461,0.04603864705242818,0.044194114756122616,0.044954204957029766,0.8194668687585749,Topic_5
0.03162055144094296,0.03348198433567485,0.03151211312188757,0.037578491775271644,0.8658068593262229,Topic_5
0.025168941889948716,0.02537101400794108,0.024919492965322285,0.02504130098878696,0.899499250148001,Topic_5
0.03712053662016578,0.03717820195959574,0.03689902679292674,0.03711028673401879,0.8516919478932929,Topic_5
0.03393000166987408,0.033708266817957036,0.032969794428202796,0.033357251043128394,0.8660346860408377,Topic_5
0.045227141064527805,0.045281350517493275,0.04503556209215901,0.04550129108213306,0.8189546552436868,Topic_5
0.045227141064527805,0.045281350517493275,0.04503556209215901,0.04550129108213306,0.8189546552436868,Topic_5
0.32894922425704126,0.028215781253226,0.027988173009666002,0.028145134371178472,0.5867016871088884,Topic_5
0.32894922425704126,0.028215781253226,0.027988173009666002,0.028145134371178472,0.5867016871088884,Topic_5
0.32894922425704126,0.028215781253226,0.027988173009666002,0.028145134371178472,0.5867016871088884,Topic_5
0.02324092888372101,0.02366419515663887,0.02301000911194776,0.025346164777952044,0.9047387020697403,Topic_5
