actual_label,predicted_label,anomaly_score
0,0,0.05246253137216439
0,0,0.09448360733144501
0,0,0.09634073932010989
1,1,-0.07563939147600834
0,1,-0.12220081992518222
0,1,-0.09855959168977929
0,0,0.06741967740216964
0,0,0.02437629855188994
0,1,-0.041121722645377556
0,0,0.06570715171127423
0,1,-0.007111993341248124
0,0,0.022240372780385043
1,0,0.034773366619529844
0,0,0.0001602745156517038
0,0,0.10796902833552124
0,0,0.08952834683833577
0,0,0.04464582890231411
1,0,0.007383643389168026
0,0,0.035512399280457074
0,0,0.05459118547966113
0,0,0.02952623918287578
1,1,-0.0943603409626193
0,0,0.02958774916969309
0,1,-0.01181188198631472
1,0,0.030707672071730863
0,0,0.06929359540615737
0,0,0.04036209455188655
0,1,-0.007997565057578149
1,1,-0.0649977867594132
0,1,-0.025732683827169256
1,0,0.00900931913227132
0,0,0.09222513409203614
1,1,-0.02052910208468922
0,0,0.014597890758382526
0,0,0.05876901128610412
0,1,-0.024843178869148053
0,1,-0.04448972491668507
1,0,0.003831070510951995
0,1,-0.04049429456608217
1,0,0.028614773058776688
0,0,0.06570619149982426
0,1,-0.06187838719251554
0,0,0.05972794222706734
0,0,0.090335084419563
0,0,0.08695086742822167
0,0,0.017141242981462967
0,0,0.05212895914920557
0,0,0.03975383466651994
0,1,-0.0039278892207094684
0,0,0.02839494817042154
0,0,0.009177119182410487
0,1,-0.05246692353166843
1,1,-0.06775648037287235
1,1,-0.09235657432330485
1,0,0.03020982535363026
0,1,-0.04608932980430108
0,0,0.09994786122568439
0,0,0.03417009011590205
0,1,-0.10872633348228927
1,1,-0.06201924953677834
0,0,0.07222248684315619
1,0,0.028491354393123836
1,0,0.006274100652968018
0,1,-0.013003486737222014
0,0,0.08274621498631785
0,1,-0.0597343278454176
1,0,0.03568605495245886
0,1,-0.16075793469056704
1,0,0.09673473957955914
1,1,-0.04857897058586108
1,0,0.09942768971150606
0,1,-0.04315623319900036
0,1,-0.019336346738856813
1,1,-0.08145028890091338
0,0,0.058879880330847456
0,0,0.08362469516411236
0,0,0.08593252338469082
0,0,0.10868246858803293
1,1,-0.04816730493146931
0,0,0.07148009185663712
1,1,-0.03609337721244349
